사건번호,접수일(년월일),성별,연령대,지역,판매유형,물품소분류,청구이유
2020034201,2020-09-01 00:00:00,여성,65 - 69세,서울특별시,일반판매,치과,품질(물품/용역)
2020034202,2020-09-01 00:00:00,여성,10 - 19세,서울특별시,일반판매,이비인후과,품질(물품/용역)
2020034203,2020-09-01 00:00:00,남성,70 - 79세,경기도,일반판매,정형외과,품질(물품/용역)
2020034204,2020-09-01 00:00:00,남성,40 - 49세,서울특별시,소셜커머스(쇼핑),레저시설이용,계약불이행(불완전이행)
2020034205,2020-09-01 00:00:00,여성,30 - 39세,인천광역시,방문판매,종신보험,계약불이행(불완전이행)
2020034206,2020-09-01 00:00:00,남성,30 - 39세,충청북도,국내온라인거래,투자자문(컨설팅),품질(물품/용역)
2020034207,2020-09-01 00:00:00,여성,20 - 29세,서울특별시,전화권유판매,헬스장,부당행위
2020034208,2020-09-01 00:00:00,여성,40 - 49세,강원도,일반판매,연수기대여(렌트),계약불이행(불완전이행)
2020034209,2020-09-01 00:00:00,여성,30 - 39세,인천광역시,일반판매,미분류대여(렌트),계약해제.해지/위약금
2020034210,2020-09-01 00:00:00,여성,30 - 39세,서울특별시,모바일거래,캐주얼바지,청약철회
2020034211,2020-09-01 00:00:00,남성,30 - 39세,서울특별시,국내온라인거래,화장품세트,품질(물품/용역)
2020034212,2020-09-01 00:00:00,남성,20 - 29세,서울특별시,방문판매,헬스장,계약해제.해지/위약금
2020034213,2020-09-01 00:00:00,남성,30 - 39세,경기도,전화권유판매,투자자문(컨설팅),계약불이행(불완전이행)
2020034215,2020-09-01 00:00:00,여성,20 - 29세,서울특별시,일반판매,사진촬영,계약해제.해지/위약금
2020034216,2020-09-01 00:00:00,남성,20 - 29세,광주광역시,일반판매,신유형상품권,계약불이행(불완전이행)
2020034217,2020-09-01 00:00:00,남성,(미입력),전라북도,국내온라인거래,조립완구,청약철회
2020034218,2020-09-01 00:00:00,남성,20 - 29세,전라북도,일반판매,헬스장,계약해제.해지/위약금
2020034220,2020-09-01 00:00:00,여성,30 - 39세,인천광역시,일반판매,신발세탁,계약불이행(불완전이행)
2020034222,2020-09-01 00:00:00,남성,30 - 39세,세종특별자치시,일반판매,전기밥솥,부당행위
2020034223,2020-09-01 00:00:00,여성,40 - 49세,강원도,방문판매,인터넷교육서비스,계약해제.해지/위약금
2020034224,2020-09-01 00:00:00,남성,50 - 59세,경기도,일반판매,기타사설강습서비스,계약해제.해지/위약금
2020034225,2020-09-01 00:00:00,여성,40 - 49세,충청북도,일반판매,기름보일러,AS불만
2020034226,2020-09-01 00:00:00,남성,70 - 79세,경상남도,기타,건강(암·기타질병)보험,계약불이행(불완전이행)
2020034227,2020-09-01 00:00:00,여성,30 - 39세,서울특별시,기타통신판매,포장이사운송서비스,품질(물품/용역)
2020034228,2020-09-01 00:00:00,남성,30 - 39세,서울특별시,일반판매,냄비,품질(물품/용역)
2020034229,2020-09-01 00:00:00,남성,20 - 29세,경기도,방문판매,헬스장,계약해제.해지/위약금
2020034230,2020-09-01 00:00:00,여성,10 - 19세,서울특별시,모바일거래,모바일게임서비스,AS불만
2020034231,2020-09-01 00:00:00,남성,30 - 39세,경기도,국내온라인거래,호텔,계약해제.해지/위약금
2020034232,2020-09-01 00:00:00,여성,20 - 29세,서울특별시,일반판매,예식서비스,계약불이행(불완전이행)
2020034233,2020-09-01 00:00:00,여성,40 - 49세,경기도,국내온라인거래,선풍기,품질(물품/용역)
2020034234,2020-09-01 00:00:00,남성,40 - 49세,대전광역시,국내온라인거래,호텔,계약해제.해지/위약금
2020034235,2020-09-01 00:00:00,여성,50 - 59세,서울특별시,일반판매,기타건강식품,품질(물품/용역)
2020034236,2020-09-01 00:00:00,여성,40 - 49세,전라남도,일반판매,펜션,계약해제.해지/위약금
2020034237,2020-09-01 00:00:00,여성,65 - 69세,경상남도,국내온라인거래,기타주택·건물,품질(물품/용역)
2020034238,2020-09-01 00:00:00,남성,30 - 39세,전라북도,국내온라인거래,CD·LD·DVD(영화·음악·게임),계약불이행(불완전이행)
2020034239,2020-09-01 00:00:00,여성,70 - 79세,부산광역시,국내온라인거래,식탁,품질(물품/용역)
2020034240,2020-09-01 00:00:00,여성,30 - 39세,서울특별시,방문판매,피부·체형관리서비스,계약해제.해지/위약금
2020034241,2020-09-01 00:00:00,여성,30 - 39세,경기도,기타통신판매,TV,청약철회
2020034242,2020-09-01 00:00:00,여성,65 - 69세,서울특별시,일반판매,건강(암·기타질병)보험,계약불이행(불완전이행)
2020034243,2020-09-01 00:00:00,여성,20 - 29세,경기도,국내온라인거래,원피스,계약불이행(불완전이행)
2020034244,2020-09-01 00:00:00,남성,50 - 59세,서울특별시,일반판매,이동전화서비스,계약해제.해지/위약금
2020034245,2020-09-01 00:00:00,남성,30 - 39세,경기도,일반판매,운동화,품질(물품/용역)
2020034246,2020-09-01 00:00:00,여성,40 - 49세,서울특별시,국내온라인거래,우산,품질(물품/용역)
2020034247,2020-09-01 00:00:00,남성,30 - 39세,경기도,소셜커머스(쇼핑),오일류,품질(물품/용역)
2020034248,2020-09-01 00:00:00,남성,65 - 69세,서울특별시,일반판매,예식서비스,계약해제.해지/위약금
2020034249,2020-09-01 00:00:00,여성,20 - 29세,인천광역시,국내온라인거래,기타숙박시설,계약해제.해지/위약금
2020034252,2020-09-01 00:00:00,여성,30 - 39세,경기도,국내온라인거래,기타숙박시설,계약해제.해지/위약금
2020034253,2020-09-01 00:00:00,남성,70 - 79세,경기도,방문판매,미분류대여(렌트),부당행위
2020034254,2020-09-01 00:00:00,여성,40 - 49세,부산광역시,국내온라인거래,샌들·슬리퍼,품질(물품/용역)
2020034255,2020-09-01 00:00:00,여성,40 - 49세,경기도,방문판매,포장이사운송서비스,계약해제.해지/위약금
2020034256,2020-09-01 00:00:00,남성,30 - 39세,인천광역시,국내온라인거래,샌들·슬리퍼,품질(물품/용역)
2020034257,2020-09-01 00:00:00,남성,50 - 59세,경기도,일반판매,이동전화서비스,계약불이행(불완전이행)
2020034258,2020-09-01 00:00:00,남성,20 - 29세,강원도,국내온라인거래,운동화,품질(물품/용역)
2020034259,2020-09-01 00:00:00,남성,30 - 39세,서울특별시,국내온라인거래,자동차대여(렌트),부당행위
2020034260,2020-09-01 00:00:00,남성,50 - 59세,경기도,국내온라인거래,항공여객운송서비스,계약해제.해지/위약금
2020034261,2020-09-01 00:00:00,여성,30 - 39세,부산광역시,국내온라인거래,기타숙박시설,계약해제.해지/위약금
2020034262,2020-09-01 00:00:00,남성,40 - 49세,부산광역시,일반판매,시계,AS불만
2020034263,2020-09-01 00:00:00,여성,30 - 39세,인천광역시,일반판매,헬스장,계약해제.해지/위약금
2020034264,2020-09-01 00:00:00,남성,10 - 19세,경기도,국내온라인거래,메인보드,품질(물품/용역)
2020034265,2020-09-01 00:00:00,남성,20 - 29세,경상남도,일반판매,시계,AS불만
2020034266,2020-09-01 00:00:00,남성,30 - 39세,서울특별시,일반판매,전자담배,계약해제.해지/위약금
2020034267,2020-09-01 00:00:00,남성,30 - 39세,부산광역시,국내온라인거래,항공여객운송서비스,계약해제.해지/위약금
2020034268,2020-09-01 00:00:00,여성,60 - 64세,경상남도,전화권유판매,투자자문(컨설팅),계약해제.해지/위약금
2020034269,2020-09-01 00:00:00,여성,40 - 49세,서울특별시,모바일거래,투자자문(컨설팅),계약해제.해지/위약금
2020034270,2020-09-01 00:00:00,여성,30 - 39세,경상남도,방문판매,정수기대여(렌트),계약해제.해지/위약금
2020034271,2020-09-01 00:00:00,남성,50 - 59세,충청남도,전화권유판매,투자자문(컨설팅),청약철회
2020034272,2020-09-01 00:00:00,여성,20 - 29세,서울특별시,국내온라인거래,카메라,청약철회
2020034273,2020-09-01 00:00:00,여성,20 - 29세,서울특별시,일반판매,양복(서양식 의복)세탁,계약불이행(불완전이행)
2020034274,2020-09-01 00:00:00,남성,30 - 39세,광주광역시,일반판매,차량네비게이션(자동항법장치),계약불이행(불완전이행)
2020034275,2020-09-01 00:00:00,남성,40 - 49세,충청남도,국내온라인거래,펜션,계약해제.해지/위약금
2020034276,2020-09-01 00:00:00,여성,50 - 59세,경기도,일반판매,이동전화서비스,품질(물품/용역)
2020034278,2020-09-01 00:00:00,여성,40 - 49세,경기도,기타,기타민영보험,계약해제.해지/위약금
2020034279,2020-09-01 00:00:00,남성,40 - 49세,경기도,국내온라인거래,모형완구,품질(물품/용역)
2020034280,2020-09-01 00:00:00,여성,30 - 39세,경상북도,일반판매,정수기,품질(물품/용역)
2020034281,2020-09-01 00:00:00,여성,30 - 39세,경기도,일반판매,기타숙박시설,계약해제.해지/위약금
2020034282,2020-09-01 00:00:00,여성,30 - 39세,울산광역시,국내온라인거래,숙녀복상의,계약불이행(불완전이행)
2020034283,2020-09-01 00:00:00,여성,40 - 49세,경기도,국내온라인거래,인터넷교육서비스,표시.광고
2020034284,2020-09-01 00:00:00,여성,40 - 49세,서울특별시,모바일거래,기타숙박시설,계약해제.해지/위약금
2020034285,2020-09-01 00:00:00,남성,65 - 69세,서울특별시,기타통신판매,투자자문(컨설팅),계약해제.해지/위약금
2020034286,2020-09-01 00:00:00,여성,30 - 39세,서울특별시,국내온라인거래,룸에어컨,품질(물품/용역)
2020034287,2020-09-01 00:00:00,여성,30 - 39세,서울특별시,국내온라인거래,기타컴퓨터·주변기기,AS불만
2020034288,2020-09-01 00:00:00,남성,30 - 39세,서울특별시,방문판매,헬스장,계약해제.해지/위약금
2020034289,2020-09-01 00:00:00,남성,30 - 39세,경상북도,일반판매,중형승용자동차,계약불이행(불완전이행)
2020034290,2020-09-01 00:00:00,여성,40 - 49세,경기도,일반판매,상품권,AS불만
